t[c]	Об/мин	[V2-V1]	Кр.м.	P	Л.С.

|
651	92	92	9,18586789554531	88,7354838709677	0,12064668209289
7429	8	-84	-0,734957598600081	-0,617364382824068	-0,000839381960641086
15	4000	3992	17298,6666666667	7265440	9878,24928322448
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
15	4000	0	0	0	0
7351	8	-3992	-35,2985988300911	-29,6508230172766	-0,0403138999451414
1234	49	41	2,15964343598055	11,1113654781199	0,0151072527018162

|
9667	6	-43	-0,28912796110479	-0,182150615496017	-0,000247655914433597
1886	32	26	0,896076352067868	3,01081654294804	0,00409357125752836
883	68	36	2,65005662514156	18,9214043035108	0,0257259503208003
15	4000	3932	17038,6666666667	7156240	9729,77860261489
16	3750	-250	-1015,625	-399902,34375	-543,715871372997
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
16	3750	0	0	0	0
